"id","ruc","razon_social","cod_unidad","departamento","provincia","distrito","direccion","estado","created_at","updated_at"
"5","10741381481","Alquimias","34","lima","Lima","Lima Centro","MZ. E LT. 12 URB. SANTA CLARA LIMA - LIMA - ATE",,,"2024-01-11 16:26:50"
"6","20609660491","Alquimia SAC","12","lima","Lima","Lima Centro","AV. JUAN NICOLINI NRO. 186 URB. PALAO ET 1 LIMA - LIMA - SAN MARTIN DE PORRES",,,"2024-01-11 16:22:59"
"7","234324324324","Parking","safas","lima","Callao","Carmen de la Legua","MZ. E LT. 12 URB. SANTA CLARA LIMA - LIMA - ATE",,,"2024-01-11 16:22:28"
"8","20609660491","Baltalab","234543","lima","Lima","Lima Centro","MZ. E LT. 12 URB. SANTA CLARA LIMA - LIMA - ATE",,,"2024-01-11 16:22:55"
"18","20609660491","Clinica fe","5654645","lima","Lima","Lima Centro","AV. JUAN NICOLINI NRO. 186 URB. PALAO ET 1 LIMA - LIMA - SAN MARTIN DE PORRES",,,"2024-01-11 16:22:49"
"19","20609660491","Conecta 2.0","234543","lima","Lima","Lima Centro","AV. TUPAC AMARU N° 210 - RIMAC - LIMA",,,"2024-01-11 16:22:45"
"20","20609660491","KidsCity","234543","lima","Callao","Carmen de la Legua","AV. JUAN NICOLINI NRO. 186 URB. PALAO ET 1 LIMA - LIMA - SAN MARTIN DE PORRES",,,"2024-01-11 16:22:40"
"21","20609660491","Avadtar S.A.C.","2010","Lima","Lima","SMP","Av. Juan Nicolini 186","1",,"2024-01-25 14:00:58"
"22","20131257750","SEGURO SOCIAL DE SALUD","401621","TRUJILLO","TRUJILLO","LA LIBERTAD","JULIO GUTIERREZ 322 - URB. LOS JARDINES","1",,"2024-07-18 14:32:17"
"23","20172557628","UNIVERSIDAD NACIONAL DE TRUJILLO","90","LA LIBERTAD","TRUJILLO","TRUJILLO","CAL.DIEGO DE ALMAGRO NRO. 344",,,"2025-04-22 15:58:40"
"24","20601353874","UNIVERSIDAD NACIONAL DE TRUJILLO","134",,,,,,,"2024-01-11 16:23:04"
"25","20131369124","EJERCITO PERUANO","400029","JUNIN","HUANCAYO","HUANCAYO",,,,"2024-04-02 15:07:02"
"26","20131369124","EJERCITO PERUANO","1113",,,,,,,"2024-01-11 16:26:23"
"27","20131369124","EJERCITO PERUANO","400025","LIMA","LIMA","SAN BORJA","AV. BOULEVARD NRO. SN (PTA NRO 1 PREGUNTAR POR OEE ANEXO 2810)",,,"2025-07-14 16:58:18"
