"id","ruc","razon_social","departamento","provincia","distrito","direccion","cobertura","estado","created_at","updated_at"
"2","20609660490","Transportes S.A.C.","lima","Lima","Lima Centro","Av. Los alpinos 456",,,,"2023-10-18 17:31:25"
"3","78454782316","Transporta2 S.A.C.","lima","Lima","Lima Centro","Av. La marina 147","Trujillo, Piura, Junín",,,"2023-12-19 15:16:41"
"4","20600876211","GRAU LOGISTICA EXPRESS S.A.","LIMA","LIMA","ATE","AV. EVITAMIENTO MZ. B LOTE 12 Y 13 - ATE 1502","PIURA, LA LIBERTAD",,,"2025-03-03 20:48:56"
"5","20603369930","TRANSPORTES BERTHA CANTURIN E.I.R.L.","CALLAO","PROV. CONST DEL CALLAO","CALLAO","AV. 28 DE JULIO 1928- La Victoria",,,,
"6","20603099088","CORPORACION ACUARIO EXPRESS SOCIEDAD ANONIMA CERRADA - CORAEX S.A.C.","LIMA","LIMA","ATE","Cl. Sta.Teresa 190-192 Urb.Los sauces - ATE","CUSCO",,,"2024-04-26 14:01:53"
"7","20458949671","TRANSPORTE CARGUERO PEGASO SRL","LIMA","LIMA","ATE","Cal. la Calera Nro. 290",,,,"2024-03-09 16:36:15"
"8","20564483061","EMPRESA DE TRANSPORTES APUSUR CARGO S.R.L.","LIMA","LIMA","LA VICTORIA","JR. RENOVACION 555 - LA VICTORIA","ABANCAY",,,"2024-03-01 14:50:23"
"9","20566548101","CARHUAMAYO PERU S.A.C.","LIMA","LIMA","LA VICTORIA","JR. LUNA PIZARRO 470 - LA VICTORIA","PASCO",,,
"11","20603099088","Corporacion Acuario Express S.A.C.","Cusco","Cusco","Wanchaq","Cal.Paraguay Mza. I Lote. 6 Urb. Parque Industrial ","Cusco","1","0000-00-00 00:00:00","2024-02-08 15:43:35"
"12","10464893283","BASILIO RODRIGUEZ KAREN PAOLA","lima","Lima","LA VICTORIA","Jr. Renovación 300 La Victoria","La Libertad","0","0000-00-00 00:00:00","2024-04-05 23:13:48"
"13","20602395040","Apusur Cargo E.I.R.L","Apurimac","Abancay","Abancay","Av. Panamericana Nro. Sn Urb. Llacchero (A 100 Metro De Terminal Wari)","Apurimac (Sus 7 Provincias)","1","0000-00-00 00:00:00","2024-09-20 23:05:43"
"14","20337407278","Transportes Aragon S.A.C.","Lima","Lima","San Martin De Porres","Mza. E Lote. 5 Urb. San Amadeo De Garagay","Madre De Dios","0","0000-00-00 00:00:00","2024-07-11 14:48:13"
"15","20600583701","Corporacion Marber S.A.C. - Transportes Bertha","Lima","Lima","La Victoria","Av. 28 De Julio Nro. 1928","Tacna","0","0000-00-00 00:00:00","2024-03-18 22:40:15"
"16","20603768168","Grupo Camaro S.A.C.","Lima","Lima","Ate","Mza. A Lote. 9 Urb. Los Olivos De Ate 1Era Etapa","Islay - Arequipa","0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"17","20605374639","Empresa De Transportes Carhuamayo Cargo S.A.C.","Lima","Lima","Ate","Mza. A Lote. 7 Urb. Santa Rosita De Ate 1Era Etapa (A Media Cdra. De La Linea 91)","Huancayo - Jauja","1","0000-00-00 00:00:00","2024-05-29 18:20:39"
"18","20605374639","Empresa De Transportes Carhuamayo Cargo S.A.C.","Lima","Lima","Ate","Mza. A Lote. 7 Urb. Santa Rosita De Ate 1Era Etapa (A Media Cdra. De La Linea 91)","Tarma - La Merced - Huanuco","1","0000-00-00 00:00:00","2024-05-29 18:20:43"
"19","20605374639","Empresa De Transportes Carhuamayo Cargo S.A.C.","Lima","Lima","Ate","Mza. A Lote. 7 Urb. Santa Rosita De Ate 1Era Etapa (A Media Cdra. De La Linea 91)","Oroya - Cayhuamayo - Junin","0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"20","20605374639","Empresa De Transportes Carhuamayo Cargo S.A.C.","Lima","Lima","LA VICTORIA","Obreros 177 la victoria cuadra 6 de GRAU espalda de instituto José pardo","Pasco - Yanacancha","0","0000-00-00 00:00:00","2024-05-29 18:44:09"
"21","20605657649","Corporacion Central Express S.R.L.","LIMA","LIMA","LA VICTORIA","JR. GUIRIBALDI 1188 - LA VICTORIA","HUANCAYO","0","0000-00-00 00:00:00","2024-10-02 18:09:19"
"22","20612220345","CORRALES TUMBES CARGO EXPRESS S.A.C","LIMA","LIMA","LA VICTORIA","JR. GARCIA NARANJO 1014- LA VICTORIA","TUMBES","0","0000-00-00 00:00:00","2024-12-13 15:43:29"
"23","20455191476","Don Goyo","Arequipa","Arequipa","Jose Luis Bustamante","Mza. D Lote. 3 Urb. Santa Elsa ","Cusco","0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"24","20560190906","Ecotur Vip S.A.C.","La Libertad","Trujillo","Trujillo","Mza. B Lote. 24 Urb. El Valle I Etapa","Cajbamba - Cajamarca","0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"25","20555059184","Transporte Y Multiservicios El Principe S.A.C.","Lima","Lima","La Victoria","Jr. Francisco Luna Pizarro Nro. 463","San Martin","0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"26","20555059184","Transporte Y Multiservicios El Principe S.A.C.","Lima","Lima","La Victoria","Jr. Francisco Luna Pizarro Nro. 464","Huanuco","0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"27","20610324291","Multiservicios Transportes & Distribuciones Evanan E.I.R.L.","Ayacucho","Huamanga","Ayacucho","Jr. Quinua Nro. 520 Asc. Magisterial","Ayacucho","1","0000-00-00 00:00:00","2024-02-08 15:40:53"
"28","20119407738","EMP. DE TRANS. FLORES HNOS. SRL.","LIMA","LIMA","LA VICTORIA","V. PASEO DE LA REPUBLICA 619- NRO. 627","TACNA","0","0000-00-00 00:00:00","2024-02-12 21:29:57"
"29","20508074281","Expreso Grael Sociedad Anonima Cerrada","Lima","Lima","La Victoria","Av. Prolongacion Andahuaylas Nro. 699 Int. A","HUANUCO-TINGO MARIA-PULCAPA-TARAPOTO-IQUITOS-","0","0000-00-00 00:00:00","2024-11-08 18:03:02"
"30","20508074281","Expreso Grael Sociedad Anonima Cerrada","Lima","Lima","La Victoria","JR. ABTAO 701","Desaguadero-ILAVE-Puno-ILO-MOQUEGUA-TACNA","0","0000-00-00 00:00:00","2024-11-08 18:02:52"
"31","20508074281","Expreso Grael Sociedad Anonima Cerrada","Lima","Lima","La Victoria","Av. Prolongacion Andahuaylas Nro. 699 Int. A","Huancané","0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"32","20508074281","Expreso Grael Sociedad Anonima Cerrada","Lima","Lima","La Victoria","Av. Prolongacion Andahuaylas Nro. 699 Int. A","Madre De Dios","0","0000-00-00 00:00:00","2024-09-07 16:02:50"
"33","20508074281","Expreso Grael Sociedad Anonima Cerrada","Lima","Lima","La Victoria","Av. Prolongacion Andahuaylas Nro. 699 Int. A","Ilo","0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"34","20508074281","Expreso Grael Sociedad Anonima Cerrada","Lima","Lima","La Victoria","Av. Prolongacion Andahuaylas Nro. 699 Int. A","Moquegua","0","0000-00-00 00:00:00","2024-06-25 15:34:34"
"35","20508074281","Expreso Grael Sociedad Anonima Cerrada","Lima","Lima","La Victoria","Av. Prolongacion Andahuaylas Nro. 699 Int. A","Tacna","0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"36","20600876211","GRAU LOGISTICA EXPRESS S.A.","Callao","Callao","Callao","Cal.1 Nro. 253 Urb. Fdo. Bocanegra Alto (Frente Al Aeropuerto Jorge Chavez)","Tumbes","0","0000-00-00 00:00:00","2024-02-08 15:45:25"
"37","20600876211","Grau Logistica Express S.A.","Callao","Callao","Callao","Cal.1 Nro. 253 Urb. Fdo. Bocanegra Alto (Frente Al Aeropuerto Jorge Chavez)","Arequipa","1","0000-00-00 00:00:00","2024-02-08 15:42:21"
"38","20600876211","Grau Logistica Express S.A.","Callao","Callao","Callao","Cal.1 Nro. 253 Urb. Fdo. Bocanegra Alto (Frente Al Aeropuerto Jorge Chavez)","La Libertad","1","0000-00-00 00:00:00","2024-02-08 15:42:17"
"39","20600876211","Grau Logistica Express S.A.","Callao","Callao","Callao","Cal.1 Nro. 253 Urb. Fdo. Bocanegra Alto (Frente Al Aeropuerto Jorge Chavez)","Piura Paita","1","0000-00-00 00:00:00","2024-02-08 15:42:14"
"40","20600876211","Grau Logistica Express S.A.","Callao","Callao","Callao","Cal.1 Nro. 253 Urb. Fdo. Bocanegra Alto (Frente Al Aeropuerto Jorge Chavez)","Trujillo","1","0000-00-00 00:00:00","2024-02-08 15:42:07"
